ip.id,tcp.time_relative
0x1d81,0.043416000
0x1d82,0.091372000
0x1d83,0.091373000
0x1d84,0.091390000
0x1d85,0.091390000
0x1d86,0.091397000
0x1d87,0.091397000
0x1d88,0.091403000
0x1d89,0.091404000
0x1d8a,0.091409000
0x1d8b,0.091410000
0x1d8c,0.136794000
0x1d8d,0.136795000
0x1d8e,0.136802000
0x1d8f,0.136802000
0x1d90,0.143483000
0x1d91,0.143484000
0x1d92,0.157339000
0x1d93,0.157340000
0x1d94,0.168872000
0x1d95,0.168873000
0x1d96,0.180238000
0x1d97,0.180239000
0x1d98,0.191252000
0x1d99,0.191253000
0x1d9a,0.203632000
0x1d9b,0.203633000
0x1d9c,0.215605000
0x1d9d,0.215606000
0x1d9e,0.227553000
0x1d9f,0.227554000
0x1da0,0.241643000
0x1da1,0.241644000
0x1da2,0.260357000
0x1da3,0.260358000
0x1da4,0.283390000
0x1da5,0.283391000
0x1da6,0.283399000
0x1da7,0.283400000
0x1da8,0.288926000
0x1da9,0.288927000
0x1daa,0.300376000
0x1dab,0.300376000
0x1dac,0.311595000
0x1dad,0.311595000
0x1dae,0.324248000
0x1daf,0.324249000
0x1db0,0.348588000
0x1db1,0.348589000
0x1db2,0.348598000
0x1db3,0.348598000
0x1db4,0.374184000
0x1db5,0.374185000
0x1db6,0.374188000
0x1db7,0.374188000
0x1db8,0.398115000
0x1db9,0.398115000
0x1dba,0.398118000
0x1dbb,0.398119000
0x1dbc,0.422381000
0x1dbd,0.422381000
0x1dbe,0.422387000
0x1dbf,0.422387000
0x1dc0,0.446536000
0x1dc1,0.446537000
0x1dc2,0.446549000
0x1dc3,0.446549000
0x1dc4,0.457883000
0x1dc5,0.471480000
0x1dc6,0.493716000
0x1dc7,0.526966000
0x1dc8,0.548669000
0x1dc9,0.572585000
0x1dca,0.596034000
0x1dcb,0.620004000
0x1dcc,0.643358000
0x1dcd,0.666202000
0x1dce,0.689218000
0x1dcf,0.715186000
0x1dd0,0.919347000
0x1dd1,0.919349000
0x1dd2,0.919522000
0x1dd3,0.919524000
0x1dd4,0.919588000
0x1dd5,0.919589000
0x1dd6,0.919594000
0x1dd7,0.919595000
0x1dd8,0.930971000
0x1dd9,0.930972000
0x1dda,0.943643000
0x1ddb,0.954528000
0x1ddc,0.967150000
0x1ddd,0.980077000
0x1dde,0.990103000
0x1ddf,1.003869000
0x1de0,1.016027000
0x1de1,1.028585000
0x1de2,1.040989000
0x1de3,1.052779000
0x1de4,1.063830000
0x1de5,1.076826000
0x1de6,1.087606000
0x1de7,1.099488000
0x1de8,1.111774000
0x1de9,1.125398000
0x1dea,1.137002000
0x1deb,1.160111000
0x1dec,1.184561000
0x1ded,1.207852000
0x1dee,1.232029000
0x1def,1.256750000
0x1df0,1.281518000
0x1df1,1.306449000
0x1df2,1.349601000
0x1df3,1.354647000
0x1df4,1.370595000
0x1df5,1.381465000
0x1df6,1.392984000
0x1df7,1.415405000
0x1df8,1.440397000
0x1df9,1.474685000
0x1dfa,1.490678000
0x1dfb,1.500210000
0x1dfc,1.523675000
0x1dfd,1.523676000
0x1dfe,1.523706000
0x1dff,1.548047000
0x1e00,1.548049000
0x1e01,1.572724000
0x1e02,1.572725000
0x1e03,1.596590000
0x1e04,1.596591000
0x1e05,1.596611000
0x1e06,1.610166000
0x1e07,1.633371000
0x1e08,1.633373000
0x1e09,1.657458000
0x1e0a,1.657459000
0x1e0b,1.657499000
0x1e0c,1.682352000
0x1e0d,1.682354000
0x1e0e,1.705725000
0x1e0f,1.705726000
0x1e10,1.717636000
0x1e11,1.731496000
0x1e12,1.743182000
0x1e13,1.769145000
0x1e14,1.805396000
0x1e15,1.815501000
0x1e16,1.848531000
0x1e17,1.848533000
0x1e18,1.848570000
0x1e19,1.898073000
0x1e1a,1.898075000
0x1e1b,1.898132000
0x1e1c,1.944459000
0x1e1d,1.944461000
0x1e1e,1.944476000
0x1e1f,1.944711000
0x1e20,1.960771000
0x1e21,1.986730000
0x1e22,2.004546000
0x1e23,2.027952000
0x1e24,2.048938000
0x1e25,2.092930000
0x1e26,2.092937000
0x1e27,2.092972000
0x1e28,2.137844000
0x1e29,2.137851000
0x1e2a,2.137883000
0x1e2b,2.183582000
0x1e2c,2.183583000
0x1e2d,2.183633000
0x1e2e,2.224119000
0x1e2f,2.224119000
0x1e30,2.224123000
0x1e31,2.224123000
0x1e32,2.264758000
0x1e33,2.264762000
0x1e34,2.264768000
0x1e35,2.264769000
0x1e36,2.282484000
0x1e37,2.282484000
0x1e38,2.306787000
0x1e39,2.306794000
0x1e3a,2.331716000
0x1e3b,2.331717000
0x1e3c,2.331733000
0x1e3d,2.355502000
0x1e3e,2.355504000
0x1e3f,2.380059000
0x1e40,2.380064000
0x1e41,2.404215000
0x1e42,2.404216000
0x1e43,2.427266000
0x1e44,2.427267000
0x1e45,2.465594000
0x1e46,2.465600000
0x1e47,2.465607000
0x1e48,2.465607000
0x1e49,2.488638000
0x1e4a,2.488639000
0x1e4b,2.513373000
0x1e4c,2.513374000
0x1e4d,2.513410000
0x1e4e,2.537669000
0x1e4f,2.537670000
0x1e50,2.561730000
0x1e51,2.561733000
0x1e52,2.586172000
0x1e53,2.586175000
0x1e54,2.609632000
0x1e55,2.609633000
0x1e56,2.626731000
0x1e57,2.626733000
0x1e58,2.649411000
0x1e59,2.649412000
0x1e5a,2.669816000
0x1e5b,2.669819000
0x1e5c,2.694961000
0x1e5d,2.694962000
0x1e5e,2.718825000
0x1e5f,2.718826000
0x1e60,2.743920000
0x1e61,2.743921000
0x1e62,2.743959000
0x1e63,2.767355000
0x1e64,2.767357000
0x1e65,2.791942000
0x1e66,2.791944000
0x1e67,2.815127000
0x1e68,2.815129000
0x1e69,2.840376000
0x1e6a,2.840379000
0x1e6b,2.863643000
0x1e6c,2.863645000
0x1e6d,2.888582000
0x1e6e,2.888584000
0x1e6f,2.899814000
0x1e70,2.899816000
0x1e71,2.924348000
0x1e72,2.924350000
0x1e73,2.950241000
0x1e74,2.950250000
0x1e75,2.973445000
0x1e76,2.973448000
0x1e77,2.996732000
0x1e78,2.996733000
0x1e79,3.021089000
0x1e7a,3.021091000
0x1e7b,3.021124000
0x1e7c,3.046459000
0x1e7d,3.046460000
0x1e7e,3.069337000
0x1e7f,3.069339000
0x1e80,3.093622000
0x1e81,3.093624000
0x1e82,3.119349000
0x1e83,3.119350000
0x1e84,3.142630000
0x1e85,3.142632000
0x1e86,3.168178000
0x1e87,3.168180000
0x1e88,3.190540000
0x1e89,3.190542000
0x1e8a,3.202084000
0x1e8b,3.202085000
0x1e8c,3.226311000
0x1e8d,3.226312000
0x1e8e,3.250741000
0x1e8f,3.250742000
0x1e90,3.275397000
0x1e91,3.275397000
0x1e92,3.301564000
0x1e93,3.301565000
0x1e94,3.324247000
0x1e95,3.324248000
0x1e96,3.348499000
0x1e97,3.348505000
0x1e98,3.348531000
0x1e99,3.373511000
0x1e9a,3.373512000
0x1e9b,3.397242000
0x1e9c,3.397244000
0x1e9d,3.421440000
0x1e9e,3.421441000
0x1e9f,3.446592000
0x1ea0,3.446596000
0x1ea1,3.472640000
0x1ea2,3.472641000
0x1ea3,3.493900000
0x1ea4,3.493902000
0x1ea5,3.523536000
0x1ea6,3.523537000
0x1ea7,3.564007000
0x1ea8,3.564008000
0x1ea9,3.584695000
0x1eaa,3.584695000
0x1eab,3.589938000
0x1eac,3.589939000
0x1ead,3.614755000
0x1eae,3.614756000
0x1eaf,3.639300000
0x1eb0,3.639302000
0x1eb1,3.662921000
0x1eb2,3.662922000
0x1eb3,3.687749000
0x1eb4,3.687750000
0x1eb5,3.710428000
